player_id,player_name,date_of_birth,nationality,import_status,source_label,source_url,verified_at,notes
1015273,Sacha McDonald,2000-01-25,Australia,local,Wikipedia team page (Melbourne Mavericks 2026 squad),https://en.wikipedia.org/wiki/Melbourne_Mavericks,2026-04-19,
991899,Sam Poolman,,,,,,,
1001944,Sam Wallace-Joseph,1994-01-16,Trinidad and Tobago,import,2025 SSN Master Sheet.ods / 2024 SSN ALL TEAMS.ods,,2026-04-19,
994117,Sam Winders,1995-06-05,,,2025 SSN Master Sheet.ods,,2026-04-19,
1001712,Samantha Gooden,,,,,,,
80162,Samantha May,1987-09-16,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Samantha_May,2026-04-17,
80506,Samon Nathan,,,,,,,
1039161,Sanmarie Visser,,,,,,,
80451,Sarah East,,,,,,,
80300,Sarah Ebbott,,,,,,,
998404,Sarah Klau,1994-09-30,Australia,local,Wikipedia team page (New South Wales Swifts 2026 squad),https://en.wikipedia.org/wiki/New_South_Wales_Swifts,2026-04-19,
80178,Sarah Wall,1984-10-16,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Sarah_Wall,2026-04-17,
1035513,Sasha Flegler,2006-02-25,,,Club website profile (Queensland Firebirds),https://firebirds.net.au/player/sasha-flegler,2026-04-20,
1007298,Sasha Glasgow,1998-07-19,England,import,Wikipedia team page (West Coast Fever 2026 squad),https://en.wikipedia.org/wiki/West_Coast_Fever,2026-04-19,
80065,Selina Gilsenan,,,,,,,
80535,Serena Guthrie,1990-01-05,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Serena_Guthrie,2026-04-18,
1009731,Shadine Van Der Merwe,1992-11-25,,,Wikipedia / Wikidata (Category:Suncorp Super Netball players),https://en.wikipedia.org/wiki/Shadine_van_der_Merwe,2026-04-18,
80152,Shae Brown,,,,,,,
80830,Shamera Sterling-Humphrey,1995-10-21,Jamaica,import,Wikipedia team page (Adelaide Thunderbirds 2026 squad),https://en.wikipedia.org/wiki/Adelaide_Thunderbirds,2026-04-19,
995108,Shanice Beckford,1995-04-16,Jamaica,import,2025 SSN Master Sheet.ods,,2026-04-19,
80452,Shannon Eagland,1990-05-16,,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Shannon_Eagland,2026-04-17,
80424,Shannon Saunders,,,,,,,
80050,Sharelle McMahon,1977-08-12,,,netball.com.au player profile,https://netball.com.au/player/sharelle-mcmahon,2026-04-20,
1007302,Sharni Lambden,1998-04-20,Australia,local,Wikipedia team page (New South Wales Swifts 2026 squad),https://en.wikipedia.org/wiki/New_South_Wales_Swifts,2026-04-19,
80048,Sharni Layton,1988-01-06,Australia,local,Famous Birthdays (netball players),https://www.famousbirthdays.com/people/sharni-layton.html,2026-04-20,
